Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
Ticks,Gold Collected Blue,Gold Spent Blue,Units Built Blue,Units Lost Blue,Buildings Standing Blue,Building Health Blue,Damage Dealt Blue,Units in Enemy Territory Blue,Gold Collected Red,Gold Spent Red,Units Built Red,Units Lost Red,Buildings Standing Red,Building Health Red,Damage Dealt Red,Units in Enemy Territory Red
243,1222,1000,44,6,4,12000,250,5,243,1222,800,28,1,4,12000,790,0
244,1232,1000,44,6,4,12000,250,7,244,1232,800,28,1,4,12000,790,0
245,1232,1000,44,6,4,12000,250,7,245,1232,800,28,1,4,12000,790,0
246,1232,1000,44,6,4,12000,250,8,246,1232,800,28,1,4,12000,790,0
247,1232,1000,44,6,4,12000,260,8,247,1232,800,28,1,4,12000,800,0
248,1232,1000,44,6,4,12000,270,8,248,1232,800,28,1,4,12000,840,0
249,1232,1000,44,7,4,12000,270,7,249,1232,800,28,1,4,12000,900,0
250,1232,1000,44,7,4,12000,270,7,250,1232,800,28,1,4,12000,960,0
251,1232,1000,44,7,4,12000,280,8,251,1232,800,28,2,4,12000,960,0
252,1232,1000,44,7,4,12000,280,8,252,1232,800,28,2,4,12000,1010,0
253,1232,1000,44,8,4,12000,300,7,253,1232,800,28,2,4,12000,1130,0
254,1232,1000,44,8,4,12000,320,7,254,1232,800,28,2,4,12000,1200,0
255,1232,1000,44,8,4,12000,350,7,255,1232,800,28,2,4,12000,1310,0
256,1331,1000,44,10,4,12000,360,5,256,1331,800,28,2,4,12000,1460,0
257,1331,1050,48,10,4,12000,380,5,257,1331,800,28,2,4,12000,1510,0
258,1331,1050,48,11,4,12000,390,4,258,1331,800,28,2,4,12000,1670,0
259,1331,1050,48,12,4,12000,390,3,259,1331,800,28,2,4,12000,1800,0
260,1331,1050,48,12,4,12000,390,3,260,1331,800,28,2,4,12000,1820,0
260,1405,1050,48,12,4,12000,390,3,260,1405,800,28,2,4,12000,1820,0
261,1405,1050,48,12,4,12000,390,3,261,1405,800,28,2,4,12000,1820,0
262,1405,1050,48,12,4,12000,400,3,262,1405,800,28,2,4,12000,1820,0
263,1405,1050,48,12,4,12000,410,3,263,1405,800,28,2,4,12000,1830,0
264,1405,1050,48,12,4,12000,420,4,264,1405,800,28,2,4,12000,1840,0
265,1405,1050,48,12,4,12000,430,5,265,1405,800,28,2,4,12000,1850,0
266,1405,1050,48,12,4,12000,440,5,266,1405,800,28,2,4,12000,1860,0
267,1405,1050,48,12,4,12000,480,5,267,1405,800,28,2,4,12000,1890,0
